#       Beta                mu_IG              mu_excess           mu_total
   0.2997307472E-002           -Infinity  -0.5468082520E+003           -Infinity
   0.2998176159E-002           -Infinity  -0.5479275359E+003           -Infinity
   0.2999044846E-002           -Infinity  -0.5490472361E+003           -Infinity
   0.2999913534E-002           -Infinity  -0.5501672269E+003           -Infinity
   0.3000782221E-002           -Infinity  -0.5512873875E+003           -Infinity
   0.3001650908E-002           -Infinity  -0.5524076015E+003           -Infinity
   0.3002519595E-002           -Infinity  -0.5535277569E+003           -Infinity
   0.3003388282E-002           -Infinity  -0.5546477465E+003           -Infinity
   0.3004256970E-002           -Infinity  -0.5557674674E+003           -Infinity
   0.3005125657E-002           -Infinity  -0.5568868214E+003           -Infinity
   0.3005994344E-002           -Infinity  -0.5580057146E+003           -Infinity
