# Molecule: bmim                    
# Box 1                   Boltzmann             Biased
   0.2997307472E-002   0.4753608502E+003   0.4754061446E+003
   0.2998176159E-002   0.4753791341E+003   0.4754238369E+003
   0.2999044846E-002   0.4753973897E+003   0.4754415127E+003
   0.2999913534E-002   0.4754156175E+003   0.4754591726E+003
   0.3000782221E-002   0.4754338180E+003   0.4754768172E+003
   0.3001650908E-002   0.4754519919E+003   0.4754944469E+003
   0.3002519595E-002   0.4754701395E+003   0.4755120624E+003
   0.3003388282E-002   0.4754882616E+003   0.4755296642E+003
   0.3004256970E-002   0.4755063585E+003   0.4755472527E+003
   0.3005125657E-002   0.4755244309E+003   0.4755648284E+003
   0.3005994344E-002   0.4755424791E+003   0.4755823918E+003


# Molecule: tf2n                    
# Box 1                   Boltzmann             Biased
   0.2997307472E-002   0.9565296101E+003   0.9566207524E+003
   0.2998176159E-002   0.9565664013E+003   0.9566563530E+003
   0.2999044846E-002   0.9566031356E+003   0.9566919206E+003
   0.2999913534E-002   0.9566398138E+003   0.9567274562E+003
   0.3000782221E-002   0.9566764373E+003   0.9567629609E+003
   0.3001650908E-002   0.9567130070E+003   0.9567984359E+003
   0.3002519595E-002   0.9567495241E+003   0.9568338821E+003
   0.3003388282E-002   0.9567859896E+003   0.9568693006E+003
   0.3004256970E-002   0.9568224045E+003   0.9569046925E+003
   0.3005125657E-002   0.9568587700E+003   0.9569400587E+003
   0.3005994344E-002   0.9568950871E+003   0.9569754001E+003


# Molecule: CO2                     
# Box 1                   Boltzmann             Biased
   0.2997307472E-002   0.0000000000E+000   0.0000000000E+000
   0.2998176159E-002   0.0000000000E+000   0.0000000000E+000
   0.2999044846E-002   0.0000000000E+000   0.0000000000E+000
   0.2999913534E-002   0.0000000000E+000   0.0000000000E+000
   0.3000782221E-002   0.0000000000E+000   0.0000000000E+000
   0.3001650908E-002   0.0000000000E+000   0.0000000000E+000
   0.3002519595E-002   0.0000000000E+000   0.0000000000E+000
   0.3003388282E-002   0.0000000000E+000   0.0000000000E+000
   0.3004256970E-002   0.0000000000E+000   0.0000000000E+000
   0.3005125657E-002   0.0000000000E+000   0.0000000000E+000
   0.3005994344E-002   0.0000000000E+000   0.0000000000E+000


