# Molecule: bmim                    
# Box 1                   Boltzmann             Biased
  -0.5948638422E+001   0.4753298684E+003   0.4753745296E+003
  -0.4058910738E+001   0.4753543410E+003   0.4753985561E+003
  -0.2169183053E+001   0.4753787896E+003   0.4754225610E+003
  -0.2794553689E+000   0.4754032142E+003   0.4754465445E+003
   0.1610272316E+001   0.4754276150E+003   0.4754705064E+003
   0.3500000000E+001   0.4754519919E+003   0.4754944469E+003
   0.5389727684E+001   0.4754763450E+003   0.4755183662E+003
   0.7279455369E+001   0.4755006746E+003   0.4755422641E+003
   0.9169183053E+001   0.4755249805E+003   0.4755661409E+003
   0.1105891074E+002   0.4755492629E+003   0.4755899965E+003
   0.1294863842E+002   0.4755735219E+003   0.4756138311E+003


# Molecule: tf2n                    
# Box 1                   Boltzmann             Biased
  -0.5948638422E+001   0.9564672680E+003   0.9565571360E+003
  -0.4058910738E+001   0.9565165123E+003   0.9566054826E+003
  -0.2169183053E+001   0.9565657081E+003   0.9566537858E+003
  -0.2794553689E+000   0.9566148558E+003   0.9567020456E+003
   0.1610272316E+001   0.9566639554E+003   0.9567502623E+003
   0.3500000000E+001   0.9567130070E+003   0.9567984359E+003
   0.5389727684E+001   0.9567620109E+003   0.9568465666E+003
   0.7279455369E+001   0.9568109672E+003   0.9568946545E+003
   0.9169183053E+001   0.9568598760E+003   0.9569426997E+003
   0.1105891074E+002   0.9569087375E+003   0.9569907025E+003
   0.1294863842E+002   0.9569575519E+003   0.9570386629E+003


# Molecule: CO2                     
# Box 1                   Boltzmann             Biased
  -0.5948638422E+001   0.0000000000E+000   0.0000000000E+000
  -0.4058910738E+001   0.0000000000E+000   0.0000000000E+000
  -0.2169183053E+001   0.0000000000E+000   0.0000000000E+000
  -0.2794553689E+000   0.0000000000E+000   0.0000000000E+000
   0.1610272316E+001   0.0000000000E+000   0.0000000000E+000
   0.3500000000E+001   0.0000000000E+000   0.0000000000E+000
   0.5389727684E+001   0.0000000000E+000   0.0000000000E+000
   0.7279455369E+001   0.0000000000E+000   0.0000000000E+000
   0.9169183053E+001   0.0000000000E+000   0.0000000000E+000
   0.1105891074E+002   0.0000000000E+000   0.0000000000E+000
   0.1294863842E+002   0.0000000000E+000   0.0000000000E+000


